,silica_concentrate
578,1.2700000000000038
1542,1.0699999999999956
1558,1.3300000000000052
1492,1.1200000000000028
1773,1.689999999999998
757,1.92
867,1.4900000000000038
1317,3.199999999999997
905,2.2300000000000035
664,1.009999999999999
142,2.58999999999999
1380,4.120000000000004
1755,3.820000000000008
421,2.3500000000000068
636,1.030000000000001
1714,1.0200000000000022
936,2.430000000000005
615,1.0699999999999956
294,4.149999999999987
1677,1.2299999999999964
1725,3.1499999999999893
88,1.8399999999999967
41,1.3199999999999952
1808,1.289999999999998
1753,2.3500000000000068
131,3.190000000000004
838,1.7400000000000044
1471,1.2100000000000015
941,2.540000000000008
1796,5.240000000000007
1357,1.5999999999999988
164,2.7099999999999915
724,1.0800000000000034
290,2.730000000000006
1719,2.0699999999999945
1423,1.3799999999999968
348,3.629999999999996
571,1.400000000000004
1453,1.5999999999999988
1712,1.0399999999999994
1029,1.4199999999999944
1740,2.0400000000000045
1447,1.3700000000000032
1779,2.9900000000000064
458,1.0600000000000018
375,2.199999999999993
333,1.5399999999999994
1063,2.149999999999995
1601,1.6399999999999926
1324,1.1899999999999982
1013,1.6200000000000032
1757,2.970000000000013
1798,4.355
1172,3.209999999999996
1749,1.520000000000003
1030,1.4699999999999998
328,2.8500000000000094
1356,1.6399999999999926
318,1.0699999999999956
1393,1.280000000000001
1232,2.58999999999999
1622,1.520000000000003
167,3.871451229182216
12,4.067610075366665
171,3.942823156224452
649,1.3100000000000018
260,1.9800000000000015
1110,3.139999999999989
1278,1.6100000000000074
672,1.169999999999996
258,2.800000000000008
1179,1.0999999999999963
138,2.0500000000000065
1670,2.550000000000008
549,2.4700000000000117
879,1.3700000000000032
1743,3.4900000000000064
1812,1.689999999999998
1079,1.4799999999999964
558,4.0900000000000025
139,4.629999999999996
1581,3.1000000000000103
531,3.230000000000008
224,1.720000000000004
723,1.1399999999999952
786,1.0600000000000018
841,2.6399999999999904
409,2.019999999999998
325,1.810000000000002
982,1.939999999999998
299,1.340000000000003
1339,2.4200000000000035
1809,1.2700000000000038
1309,1.400000000000004
1688,1.7799999999999951
714,3.0500000000000043
193,3.330000000000002
440,3.97432357395333
573,1.3300000000000052
503,0.860000000000002
605,3.889999999999989
1273,3.209999999999996
1625,1.520000000000003
3,4.860152717176111
1053,1.910000000000004
1333,4.909999999999993
467,3.4199999999999977
321,2.0299999999999927
5,4.701644188813888
222,1.5500000000000052
547,1.6999999999999944
228,2.0699999999999945
39,1.2299999999999964
542,1.6999999999999944
242,3.480000000000009
1037,1.4499999999999953
136,2.25
1090,4.320000000000014
1627,1.9800000000000015
1433,1.0399999999999994
864,1.25
829,2.8999999999999906
445,3.8170775623255566
842,1.4300000000000048
963,2.0400000000000045
1287,1.7599999999999956
1058,1.2100000000000015
1659,3.25
581,1.4499999999999953
1605,1.409999999999997
1786,1.8999999999999968
661,1.0500000000000025
436,4.588558808683332
1686,1.9300000000000053
376,2.1000000000000045
1342,1.5500000000000052
314,1.4199999999999944
442,3.667205956587775
1049,2.199999999999993
319,1.2599999999999971
281,4.830000000000013
950,2.0799999999999987
1089,3.5599999999999903
1696,1.660000000000001
424,4.707502774693333
553,1.8399999999999967
594,1.660000000000001
1780,2.6700000000000044
368,1.8999999999999968
1263,1.9300000000000053
930,2.569999999999994
1449,1.0500000000000025
1472,1.030000000000001
1281,2.4100000000000086
227,2.970000000000013
1018,1.5999999999999988
1102,2.7599999999999936
1206,2.170000000000002
1557,1.3199999999999952
66,3.3399999999999954
393,2.481385932438333
579,1.1500000000000037
24,1.0699999999999956
211,3.410000000000004
1399,1.8600000000000083
144,2.0500000000000065
536,3.9299999999999904
811,1.8500000000000023
1163,1.8600000000000083
943,1.6699999999999977
85,2.0
1639,1.8500000000000023
272,2.0
1173,3.089999999999992
1776,3.190000000000004
942,1.7799999999999951
1641,1.2599999999999971
630,1.1800000000000046
1292,1.8300000000000007
1699,2.0299999999999927
1201,2.4200000000000035
1245,2.209999999999994
1239,3.0
505,1.0500000000000025
273,3.170000000000001
507,1.4900000000000038
1196,1.0900000000000027
362,3.860000000000011
1469,1.2700000000000038
1476,1.3600000000000063
622,1.1299999999999972
2,4.899999999999985
6,4.622389924633333
1286,1.409999999999997
311,1.8999999999999968
1229,1.7400000000000044
976,3.330000000000002
665,1.3199999999999952
364,4.899999999999985
1789,3.390000000000001
215,3.160000000000007
1771,1.560000000000002
27,1.340000000000003
1303,1.8300000000000007
525,1.1599999999999973
1667,1.280000000000001
964,2.199999999999993
638,1.1299999999999972
302,2.5
718,3.139999999999989
691,1.3300000000000052
1427,1.1599999999999973
1235,3.25
624,1.0800000000000034
7,4.543135660451666
256,4.759999999999993
803,1.8399999999999967
25,1.340000000000003
336,1.3100000000000018
572,1.5699999999999947
47,1.0600000000000018
1344,1.280000000000001
106,2.4100000000000086
349,3.789999999999998
55,2.8500000000000094
238,4.450000000000012
213,3.6399999999999895
120,1.289999999999998
1144,1.9800000000000015
1228,1.6299999999999968
793,1.5800000000000034
72,3.320000000000002
922,1.4799999999999964
812,2.2599999999999945
1571,1.800000000000006
77,2.9733364140483336
944,2.569999999999994
1027,1.349999999999996
45,0.8799999999999978
1525,1.6200000000000032
523,1.2400000000000029
232,2.149999999999995
644,1.4499999999999953
1335,2.120000000000004
1618,1.4699999999999998
1091,3.629999999999996
533,2.7200000000000126
1165,1.4900000000000038
1791,3.54
603,1.280000000000001
465,4.529999999999982
1362,1.6699999999999977
788,1.2100000000000015
1543,0.9399999999999984
1078,1.75
1200,2.540000000000008
60,1.2400000000000029
1188,1.0200000000000022
1151,1.7599999999999956
92,1.560000000000002
666,1.1800000000000046
1621,1.5
1538,1.0600000000000018
194,2.329999999999997
280,4.5600000000000005
695,1.2599999999999971
1242,2.0799999999999987
359,2.360000000000009
1033,1.5699999999999947
519,1.800000000000006
1305,1.75
1583,2.8299999999999947
1251,2.189999999999998
1674,2.8899999999999904
847,2.009999999999995
182,3.470000000000016
1240,3.1100000000000105
1497,1.409999999999997
110,1.8300000000000007
1114,2.360000000000009
1795,3.3600000000000105
1118,1.1599999999999973
42,1.1299999999999972
746,1.7099999999999989
125,3.3399999999999954
204,4.829253990284444
52,3.7100000000000017
545,4.320000000000014
68,4.279999999999983
1040,2.220000000000009
1613,1.400000000000004
183,2.6299999999999963
137,2.0699999999999945
899,2.430000000000005
796,1.289999999999998
132,2.689999999999998
80,5.230000000000012
1403,1.4300000000000048
541,1.6399999999999926
1454,1.0500000000000025
983,1.6100000000000074
165,3.850000000000013
248,1.77
446,3.512922437674445
1052,1.409999999999997
858,1.009999999999999
1108,4.139999999999989
97,1.1899999999999982
1790,4.720000000000018
737,1.1500000000000037
1145,1.1500000000000037
102,2.7400000000000064
434,5.04923523472889
74,1.1200000000000028
1630,1.7299999999999995
1320,1.6200000000000032
918,2.439999999999998
1562,3.524279778393333
1524,1.6299999999999968
1741,3.230000000000008
762,1.720000000000004
989,1.2400000000000029
388,1.5999999999999988
235,3.029999999999986
267,2.970000000000013
1692,2.009999999999995
117,2.189999999999998
1464,1.400000000000004
673,1.1500000000000037
249,2.370000000000004
1319,2.2799999999999905
94,1.6399999999999926
33,3.0199999999999925
1330,4.409999999999996
1690,2.8399999999999888
448,2.7699999999999934
716,1.400000000000004
1695,3.139999999999989
1381,2.329999999999997
0,4.360000000000011
1576,2.490000000000006
82,3.271903146206111
1210,4.149999999999987
676,1.0699999999999956
1318,4.289999999999994
1046,2.009999999999995
770,1.2400000000000029
1112,2.2300000000000035
1209,4.360000000000011
1441,4.379999999999996
1353,1.1500000000000037
404,2.959999999999993
1575,3.1499999999999893
1182,0.96
104,3.330000000000002
688,1.4799999999999964
1187,1.0500000000000025
826,2.0500000000000065
62,2.0799999999999987
852,1.3499999999999996
1463,1.4199999999999944
223,2.6700000000000044
145,2.560000000000002
1088,4.669999999999987
373,1.8399999999999967
1288,1.8999999999999968
1661,1.460000000000002
1358,1.4799999999999964
1815,2.970000000000013
1480,1.8199999999999947
9,4.384627132089444
449,2.2799999999999905
708,2.1000000000000045
255,4.350000000000014
882,1.6399999999999926
389,1.698415085608889
908,1.990000000000005
924,1.8799999999999968
1555,1.6200000000000032
1407,1.340000000000003
460,1.219999999999999
1157,3.7000000000000046
958,2.439999999999998
501,1.2400000000000029
739,1.8799999999999968
1681,1.800000000000006
868,1.2400000000000029
731,2.199999999999993
539,4.990000000000007
697,1.1899999999999982
1645,1.25
1249,2.220000000000009
1031,1.3799999999999968
372,1.889999999999992
667,1.2299999999999964
1389,1.910000000000004
357,2.2900000000000063
967,2.730000000000006
783,1.3199999999999952
735,2.810000000000002
1035,1.77
970,4.965145631067222
1466,1.2299999999999964
1351,1.959999999999996
1355,3.459999999999999
1545,2.0799999999999987
1566,2.818613678372222
885,1.92
79,4.776663585951663
814,1.4399999999999984
1539,1.0600000000000018
671,1.0500000000000025
1395,2.620000000000004
57,1.8399999999999967
133,2.810000000000002
1140,1.0200000000000022
933,2.0299999999999927
1536,1.1899999999999982
823,4.445649278581106
504,0.9199999999999984
1615,1.2100000000000015
347,3.60990284525
386,1.7900000000000025
1024,1.560000000000002
894,1.7900000000000025
828,2.0500000000000065
1716,1.2299999999999964
475,1.3300000000000052
1783,1.8999999999999968
1268,1.9800000000000015
652,1.3700000000000032
172,3.950000000000007
1149,1.0999999999999963
38,1.300000000000004
713,1.689999999999998
90,1.6999999999999944
1756,4.549999999999988
875,1.5999999999999988
1225,1.939999999999998
1093,1.1599999999999973
1155,3.5299999999999843
1236,2.5
1775,3.139999999999989
499,1.4900000000000038
338,1.9499999999999935
28,1.169999999999996
1202,1.990000000000005
1655,2.060000000000002
945,2.0500000000000065
169,3.91427438540834
912,1.689999999999998
491,4.691158113730556
953,1.720000000000004
1097,1.6399999999999926
1032,1.3899999999999937
587,1.25
750,1.1800000000000046
657,1.0699999999999956
234,4.889999999999989
732,1.939999999999998
1488,1.3899999999999937
1156,3.170000000000001
1336,2.9399999999999995
1649,1.25
934,4.279999999999983
1065,2.1399999999999912
108,1.4300000000000048
1404,1.3700000000000032
568,1.0
1167,1.2400000000000029
1174,1.810000000000002
890,2.7200000000000126
947,1.7900000000000025
1048,1.8700000000000032
1226,1.8799999999999968
1244,3.120000000000004
1313,1.1399999999999952
884,1.689999999999998
1526,1.409999999999997
850,4.919999999999986
734,2.0500000000000065
717,2.300000000000008
454,1.1599999999999973
264,3.2900000000000027
75,1.720000000000004
444,3.970000000000017
395,2.872871355853889
176,1.6699999999999977
1042,1.939999999999998
1582,2.439999999999998
1271,1.2400000000000029
1252,2.1100000000000088
595,2.4200000000000035
61,1.560000000000002
872,1.6399999999999926
1620,1.560000000000002
1706,1.4799999999999964
278,5.049999999999985
36,5.0
1379,4.120000000000004
662,1.009999999999999
1642,1.3799999999999968
1414,4.730000000000011
977,3.320000000000002
1432,1.520000000000003
738,1.0399999999999994
191,4.059999999999985
919,1.8300000000000007
456,1.030000000000001
675,1.0800000000000034
760,1.800000000000006
1643,1.2299999999999964
728,1.810000000000002
412,2.089999999999994
1098,2.699999999999992
825,4.919999999999986
1360,1.0800000000000034
616,1.0800000000000034
114,1.990000000000005
417,1.520000000000003
1731,1.3700000000000032
969,4.929999999999982
604,1.2299999999999964
1738,2.4100000000000086
89,2.8500000000000094
848,3.3600000000000105
1383,1.340000000000003
1737,3.3000000000000007
753,1.280000000000001
498,1.6299999999999968
11,4.22611860372778
396,3.851584914391111
284,2.089999999999994
1066,2.430000000000005
1191,1.1299999999999972
690,1.4300000000000048
1487,2.2300000000000035
1703,1.6999999999999944
689,1.6699999999999977
851,1.7299999999999995
159,2.339999999999992
895,1.8999999999999968
1436,1.4499999999999953
257,3.6600000000000015
335,1.77
1707,0.969999999999999
1039,2.439999999999998
515,1.77
1015,1.7400000000000044
768,1.660000000000001
1591,1.6999999999999944
761,2.2900000000000063
1246,2.0799999999999987
1203,1.4900000000000038
1334,2.0799999999999987
1800,3.470000000000016
521,2.9900000000000064
22,1.0
356,2.0299999999999927
1277,1.1200000000000028
1535,1.720000000000004
340,3.33009715475
431,4.600000000000015
473,1.7299999999999995
217,4.480000000000011
911,1.3300000000000052
1227,1.6399999999999926
1455,1.7299999999999995
1011,1.720000000000004
1767,1.3600000000000063
93,1.8300000000000007
1008,1.6500000000000004
1070,2.3199999999999945
1092,4.190000000000016
1446,1.2599999999999971
1308,2.560000000000002
696,1.3899999999999937
1631,1.7299999999999995
996,1.970000000000007
153,1.59
1099,4.129999999999996
1569,1.6200000000000032
1814,1.4499999999999953
789,1.25
580,1.3799999999999968
703,2.060000000000002
1212,3.809999999999988
1295,3.059999999999998
1592,1.7099999999999989
1260,2.209999999999994
487,2.75
559,5.080000000000015
1141,1.800000000000006
1119,1.7799999999999951
801,1.520000000000003
512,2.3799999999999963
633,1.1299999999999972
1343,1.460000000000002
1626,1.8399999999999967
1150,1.0900000000000027
790,1.4399999999999984
116,2.0400000000000045
740,1.009999999999999
1081,2.1000000000000045
830,2.2799999999999905
119,1.460000000000002
656,1.009999999999999
1728,1.3100000000000018
635,1.0600000000000018
369,1.810000000000002
268,1.8700000000000032
655,1.009999999999999
935,1.810000000000002
822,4.129999999999998
866,1.1899999999999982
46,1.1100000000000043
1559,1.5099999999999962
991,1.0999999999999963
876,1.529999999999999
773,1.219999999999999
1219,3.2599999999999936
1816,1.8399999999999967
4,4.780898452994444
1003,2.4499999999999926
1572,4.730000000000011
263,3.170000000000001
1640,1.92
1664,1.2299999999999964
443,3.5899999999999976
1002,1.75
1077,1.9300000000000053
837,1.7099999999999989
1629,1.280000000000001
304,4.940000000000023
1365,2.199999999999993
1418,1.4199999999999944
313,1.1599999999999973
149,2.9800000000000075
1148,1.0
1213,5.330000000000016
574,1.1500000000000037
50,1.1800000000000046
1730,2.8299999999999947
726,1.169999999999996
833,1.8700000000000032
1377,1.959999999999996
1115,1.59
1166,1.289999999999998
470,1.9300000000000053
